,Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
30493,2022-01-01,BR,Brazil,AMRO,13405,22277239,167,618984
30494,2022-01-02,BR,Brazil,AMRO,10282,22287521,72,619056
30495,2022-01-03,BR,Brazil,AMRO,3986,22291507,49,619105
30496,2022-01-04,BR,Brazil,AMRO,1721,22293228,28,619133
30497,2022-01-05,BR,Brazil,AMRO,11850,22305078,76,619209
30498,2022-01-06,BR,Brazil,AMRO,18759,22323837,175,619384
30499,2022-01-07,BR,Brazil,AMRO,27267,22351104,129,619513
30500,2022-01-08,BR,Brazil,AMRO,35826,22386930,128,619641
30501,2022-01-09,BR,Brazil,AMRO,63292,22450222,181,619822
30502,2022-01-10,BR,Brazil,AMRO,49303,22499525,115,619937
30503,2022-01-11,BR,Brazil,AMRO,24382,22523907,44,619981
30504,2022-01-12,BR,Brazil,AMRO,34788,22558695,110,620091
30505,2022-01-13,BR,Brazil,AMRO,70765,22629460,147,620238
30506,2022-01-14,BR,Brazil,AMRO,86631,22716091,133,620371
30507,2022-01-15,BR,Brazil,AMRO,98826,22814917,174,620545
30508,2022-01-16,BR,Brazil,AMRO,112286,22927203,251,620796
30509,2022-01-17,BR,Brazil,AMRO,48520,22975723,175,620971
30510,2022-01-18,BR,Brazil,AMRO,24934,23000657,74,621045
30511,2022-01-19,BR,Brazil,AMRO,74134,23074791,121,621166
30512,2022-01-20,BR,Brazil,AMRO,137103,23211894,351,621517
30513,2022-01-21,BR,Brazil,AMRO,204854,23416748,338,621855
30514,2022-01-22,BR,Brazil,AMRO,168495,23585243,350,622205
30515,2022-01-23,BR,Brazil,AMRO,166539,23751782,358,622563
30516,2022-01-24,BR,Brazil,AMRO,157393,23909175,238,622801
30517,2022-01-25,BR,Brazil,AMRO,135080,24044255,296,623097
30518,2022-01-26,BR,Brazil,AMRO,80340,24124595,259,623356
30519,2022-01-27,BR,Brazil,AMRO,186722,24311317,487,623843
30520,2022-01-28,BR,Brazil,AMRO,224567,24535884,570,624413
30521,2022-01-29,BR,Brazil,AMRO,228954,24764838,672,625085
30522,2022-01-30,BR,Brazil,AMRO,269968,25034806,799,625884
30523,2022-01-31,BR,Brazil,AMRO,179816,25214622,640,626524
30524,2022-02-01,BR,Brazil,AMRO,134175,25348797,330,626854
30525,2022-02-02,BR,Brazil,AMRO,77947,25426744,284,627138
30526,2022-02-03,BR,Brazil,AMRO,193465,25620209,929,628067
30527,2022-02-04,BR,Brazil,AMRO,172903,25793112,893,628960
30528,2022-02-05,BR,Brazil,AMRO,298408,26091520,1041,630001
30529,2022-02-06,BR,Brazil,AMRO,184311,26275831,493,630494
30530,2022-02-07,BR,Brazil,AMRO,197442,26473273,1308,631802
30531,2022-02-08,BR,Brazil,AMRO,59737,26533010,391,632193
30532,2022-02-09,BR,Brazil,AMRO,66583,26599593,428,632621
30533,2022-02-10,BR,Brazil,AMRO,177027,26776620,1189,633810
30534,2022-02-11,BR,Brazil,AMRO,178814,26955434,1264,635074
30535,2022-02-12,BR,Brazil,AMRO,164066,27119500,943,636017
30536,2022-02-13,BR,Brazil,AMRO,166009,27285509,1135,637152
30537,2022-02-14,BR,Brazil,AMRO,140234,27425743,896,638048
30538,2022-02-15,BR,Brazil,AMRO,54220,27479963,314,638362
30539,2022-02-16,BR,Brazil,AMRO,58540,27538503,473,638835
30540,2022-02-17,BR,Brazil,AMRO,120549,27659052,854,639689
30541,2022-02-18,BR,Brazil,AMRO,147734,27806786,1085,640774
30542,2022-02-19,BR,Brazil,AMRO,131049,27937835,1128,641902
30543,2022-02-20,BR,Brazil,AMRO,121027,28058862,1127,643029
30544,2022-02-21,BR,Brazil,AMRO,108725,28167587,851,643880
30545,2022-02-22,BR,Brazil,AMRO,40625,28208212,406,644286
30546,2022-02-23,BR,Brazil,AMRO,37339,28245551,318,644604
30547,2022-02-24,BR,Brazil,AMRO,105776,28351327,816,645420
30548,2022-02-25,BR,Brazil,AMRO,133563,28484890,999,646419
30549,2022-02-26,BR,Brazil,AMRO,93757,28578647,971,647390
30550,2022-02-27,BR,Brazil,AMRO,0,28578647,0,647390
30551,2022-02-28,BR,Brazil,AMRO,165403,28744050,1523,648913
30552,2022-03-01,BR,Brazil,AMRO,24054,28768104,221,649134
30553,2022-03-02,BR,Brazil,AMRO,19516,28787620,199,649333
30554,2022-03-03,BR,Brazil,AMRO,23545,28811165,297,649630
30555,2022-03-04,BR,Brazil,AMRO,30995,28842160,370,650000
30556,2022-03-05,BR,Brazil,AMRO,61870,28904030,578,650578
30557,2022-03-06,BR,Brazil,AMRO,69769,28973799,677,651255
30558,2022-03-07,BR,Brazil,AMRO,59253,29033052,672,651927
30559,2022-03-08,BR,Brazil,AMRO,15961,29049013,216,652143
30560,2022-03-09,BR,Brazil,AMRO,20456,29069469,198,652341
30561,2022-03-10,BR,Brazil,AMRO,68893,29138362,488,652829
30562,2022-03-11,BR,Brazil,AMRO,54906,29193268,669,653498
30563,2022-03-12,BR,Brazil,AMRO,56635,29249903,588,654086
30564,2022-03-13,BR,Brazil,AMRO,55211,29305114,470,654556
30565,2022-03-14,BR,Brazil,AMRO,45020,29350134,389,654945
30566,2022-03-15,BR,Brazil,AMRO,18642,29368776,133,655078
30567,2022-03-16,BR,Brazil,AMRO,11287,29380063,171,655249
30568,2022-03-17,BR,Brazil,AMRO,52094,29432157,336,655585
30569,2022-03-18,BR,Brazil,AMRO,45882,29478039,355,655940
30570,2022-03-19,BR,Brazil,AMRO,49601,29527640,485,656425
30571,2022-03-20,BR,Brazil,AMRO,45472,29573112,373,656798
30572,2022-03-21,BR,Brazil,AMRO,44154,29617266,304,657102
30573,2022-03-22,BR,Brazil,AMRO,13218,29630484,103,657205
30574,2022-03-23,BR,Brazil,AMRO,11110,29641594,97,657302
30575,2022-03-24,BR,Brazil,AMRO,41021,29682615,394,657696
30576,2022-03-25,BR,Brazil,AMRO,47376,29729991,302,657998
30577,2022-03-26,BR,Brazil,AMRO,37690,29767681,312,658310
30578,2022-03-27,BR,Brazil,AMRO,34576,29802257,256,658566
30579,2022-03-28,BR,Brazil,AMRO,0,29802257,0,658566
30580,2022-03-29,BR,Brazil,AMRO,40161,29842418,313,658879
30581,2022-03-30,BR,Brazil,AMRO,9923,29852341,77,658956
30582,2022-03-31,BR,Brazil,AMRO,30056,29882397,285,659241
30583,2022-04-01,BR,Brazil,AMRO,33937,29916334,263,659504
30584,2022-04-02,BR,Brazil,AMRO,31561,29947895,253,659757
30585,2022-04-03,BR,Brazil,AMRO,27270,29975165,245,660002
30586,2022-04-04,BR,Brazil,AMRO,17062,29992227,106,660108
30587,2022-04-05,BR,Brazil,AMRO,7210,29999437,39,660147
30588,2022-04-06,BR,Brazil,AMRO,13361,30012798,165,660312
30589,2022-04-07,BR,Brazil,AMRO,27331,30040129,216,660528
30590,2022-04-08,BR,Brazil,AMRO,27120,30067249,195,660723
30591,2022-04-09,BR,Brazil,AMRO,26502,30093751,250,660973
30592,2022-04-10,BR,Brazil,AMRO,30212,30123963,149,661122
30593,2022-04-11,BR,Brazil,AMRO,21229,30145192,98,661220
30594,2022-04-12,BR,Brazil,AMRO,7210,30152402,38,661258
30595,2022-04-13,BR,Brazil,AMRO,8803,30161205,69,661327
30596,2022-04-14,BR,Brazil,AMRO,22724,30183929,166,661493
30597,2022-04-15,BR,Brazil,AMRO,26924,30210853,163,661656
30598,2022-04-16,BR,Brazil,AMRO,23171,30234024,140,661796
30599,2022-04-17,BR,Brazil,AMRO,13278,30247302,111,661907
30600,2022-04-18,BR,Brazil,AMRO,2775,30250077,31,661938
30601,2022-04-19,BR,Brazil,AMRO,2541,30252618,22,661960
30602,2022-04-20,BR,Brazil,AMRO,8470,30261088,66,662026
30603,2022-04-21,BR,Brazil,AMRO,14131,30275219,125,662151
30604,2022-04-22,BR,Brazil,AMRO,36750,30311969,263,662414
30605,2022-04-23,BR,Brazil,AMRO,18660,30330629,92,662506
30606,2022-04-24,BR,Brazil,AMRO,8068,30338697,51,662557
30607,2022-04-25,BR,Brazil,AMRO,6957,30345654,53,662610
30608,2022-04-26,BR,Brazil,AMRO,3809,30349463,36,662646
30609,2022-04-27,BR,Brazil,AMRO,6456,30355919,76,662722
30610,2022-04-28,BR,Brazil,AMRO,22142,30378061,144,662866
30611,2022-04-29,BR,Brazil,AMRO,20943,30399004,245,663111
30612,2022-04-30,BR,Brazil,AMRO,19916,30418920,114,663225
